date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:55	1031/1031	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:17:54%20GMT	http://derpal.com.pl/robots.txt		(from )
21:17:56	15573/15573	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:17:55%20GMT	http://derpal.com.pl/	derpal.com.pl/index.html	(from )
21:17:56	3599/3599	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202013%2014:27:56%20GMT	http://derpal.com.pl/site_media/css/basic.css	derpal.com.pl/site_media/css/basic.css	(from http://derpal.com.pl/)
21:17:57	36537/36537	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Feb%202016%2011:33:08%20GMT	http://derpal.com.pl/site_media/css/screen.css	derpal.com.pl/site_media/css/screen.css	(from http://derpal.com.pl/)
21:17:58	2237/2237	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:17:58%20GMT	http://derpal.com.pl/site_media/js/site/jquery-1.8.0.min.js	derpal.com.pl/site_media/js/site/jquery-1.8.0.min.js	(from http://derpal.com.pl/)
21:17:59	2320/2320	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Apr%202013%2009:31:12%20GMT	http://derpal.com.pl/site_media/js/site/jquery.cookie.js	derpal.com.pl/site_media/js/site/jquery.cookie.js	(from http://derpal.com.pl/)
21:18:00	5464/5464	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2014%20Feb%202013%2014:26:36%20GMT	http://derpal.com.pl/site_media/js/site/prefixfree.min.js	derpal.com.pl/site_media/js/site/prefixfree.min.js	(from http://derpal.com.pl/)
21:18:01	187/187	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2014%20Feb%202013%2014:26:36%20GMT	http://derpal.com.pl/site_media/js/site/main.js	derpal.com.pl/site_media/js/site/main.js	(from http://derpal.com.pl/)
21:18:02	355/355	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Mar%202013%2013:37:00%20GMT	http://derpal.com.pl/site_media/js/site/scripts.js	derpal.com.pl/site_media/js/site/scripts.js	(from http://derpal.com.pl/)
21:18:03	951/951	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2012%20Feb%202016%2011:33:08%20GMT	http://derpal.com.pl/site_media/js/site/menu.js	derpal.com.pl/site_media/js/site/menu.js	(from http://derpal.com.pl/)
